125,小森林 夏秋篇,9.0,导演: 森淳一 Junichi Mori,2014,435010人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
126,时空恋旅人,8.8,导演: 理查德·柯蒂斯 Richard Curtis,2013,698156人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
127,未麻的部屋,9.1,导演: 今敏 Satoshi Kon,1997,352014人评价,好的剧本是，就算你猜到了结局也猜不到全部。
128,侧耳倾听,8.9,导演: 近藤喜文 Yoshifumi Kondo,1995,474870人评价,少女情怀总是诗。
129,哈利·波特与火焰杯,8.8,导演: 迈克·内威尔 Mike Newell,2005,686322人评价,和谐的生活离不开摸头与被摸头。
131,幸福终点站,8.8,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2004,586630人评价,有时候幸福需要等一等。 
132,一个叫欧维的男人决定去死,8.9,导演: 汉内斯·赫尔姆 Hannes Holm,2015,500579人评价,惠及一生的美丽。
133,小森林 冬春篇,9.0,导演: 森淳一 Junichi Mori,2015,387686人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
134,教父3,9.0,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,385748人评价,任何信念的力量，都无法改变命运。
135,怪兽电力公司,8.8,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,693969人评价,不要给它起名字，起了名字就有感情了。
136,玩具总动员3,8.9,导演: 李·昂克里奇 Lee Unkrich,2010,533796人评价,跨度十五年的欢乐与泪水。
137,傲慢与偏见,8.7,导演: 乔·怀特 Joe Wright,2005,825035人评价,爱是摈弃傲慢与偏见之后的曙光。
138,新世界,8.9,导演: 朴勋政 Hoon-jung Park,2013,455301人评价,要做就做得狠一点，这样才能活下去。
139,萤火之森,8.9,导演: 大森贵弘 Takahiro Omori,2011,554498人评价,触不到的恋人。
140,茶馆,9.6,导演: 谢添 Tian Xie,1982(中国大陆),158247人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
142,釜山行,8.6,导演: 延尚昊 Sang-ho Yeon,2016,1229816人评价,揭露人性的丧尸题材力作。
143,神偷奶爸,8.7,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,967483人评价,Mr. I Don&#39;t Care其实也有Care的时候。
144,告白,8.8,导演: 中岛哲也 Tetsuya Nakashima,2010,685332人评价,没有一人完全善，也没有一人完全恶。
145,玛丽和马克思,9.0,导演: 亚当·艾略特 Adam Elliot,2009,428107人评价,你是我最好的朋友，你是我唯一的朋友 。
146,哪吒闹海,9.2,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,267409人评价,想你时你在闹海。
147,色，戒,8.7,导演: 李安 Ang Lee,2007,841768人评价,假戏真情，爱欲深海
148,九品芝麻官,8.7,导演: 王晶 Jing Wong,1994,703492人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
150,喜宴,9.0,导演: 李安 Ang Lee,1993,375974人评价,中国家庭的喜怒哀乐忍。
151,模仿游戏,8.8,导演: 莫滕·泰杜姆 Morten Tyldum,2014,663765人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
152,头号玩家,8.6,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2018,1397865人评价,写给影迷，动漫迷和游戏迷的一封情书。
153,射雕英雄传之东成西就,8.7,导演: 刘镇伟 Jeffrey Lau,1993,654434人评价,百看不厌。 
154,花样年华,8.8,导演: 王家卫 Kar Wai Wong,2000,629815人评价,偷情本没有这样美。
155,头脑特工队,8.8,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,635964人评价,愿我们都不用长大，每一座城堡都能永远存在。
